SE Casos óbitos Letalidade Casos óbitos Letalidade Casos óbitos Letalidade Casos óbitos Letalidade Casos Óbitos Letalidade
1 19 1 5,3 0 0 0,0 4 0 0,0 2 0 0,0 0 0 0,0
2 10 0 0,0 0 0 0,0 0 0 0,0 1 0 0,0 0 0 0,0
3 8 1 12,5 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0
4 8 2 25,0 0 0 0,0 4 2 50,0 1 0 0,0 0 0 0,0
5 12 4 33,3 0 0 0,0 2 1 50,0 0 0 0,0 0 0 0,0
6 16 4 25,0 0 0 0,0 7 1 14,3 0 0 0,0 0 0 0,0
7 32 1 3,1 1 0 0,0 5 0 0,0 4 0 0,0 2 0 0,0
8 51 6 11,8 0 0 0,0 23 2 8,7 0 0 0,0 4 0 0,0
9 99 11 11,1 0 0 0,0 42 6 14,3 2 0 0,0 6 1 16,7
10 174 21 12,1 1 0 0,0 75 12 16,0 5 0 0,0 15 0 0,0
11 338 30 8,9 0 0 0,0 149 18 12,1 2 0 0,0 23 0 0,0
12 554 51 9,2 5 2 40,0 233 24 10,3 5 1 20,0 16 0 0,0
13 775 59 7,6 2 0 0,0 246 26 10,6 10 1 10,0 13 0 0,0
14 716 55 7,7 0 0 0,0 200 25 12,5 6 0 0,0 12 0 0,0
15 515 41 8,0 3 2 66,7 103 12 11,7 0 0 0,0 3 0 0,0
16 318 18 5,7 0 0 0,0 44 3 6,8 1 0 0,0 4 0 0,0
17 208 16 7,7 1 0 0,0 19 4 21,1 1 0 0,0 2 0 0,0
18 171 11 6,4 0 0 0,0 18 2 11,1 1 0 0,0 0 0 0,0
19 180 10 5,6 0 0 0,0 17 0 0,0 1 0 0,0 5 0 0,0
20 106 12 11,3 0 0 0,0 7 0 0,0 1 0 0,0 1 0 0,0
21 112 12 10,7 0 0 0,0 13 3 23,1 3 1 33,3 0 0 0,0
22 98 9 9,2 1 0 0,0 12 2 16,7 1 0 0,0 0 0 0,0
23 92 11 12,0 0 0 0,0 9 0 0,0 1 1 100,0 0 0 0,0
24 101 21 20,8 0 0 0,0 11 1 9,1 2 1 50,0 0 0 0,0
25 102 8 7,8 0 0 0,0 9 1 11,1 0 0 0,0 0 0 0,0
26 81 11 13,6 0 0 0,0 9 0 0,0 2 0 0,0 1 0 0,0
27 76 11 14,5 0 0 0,0 9 3 33,3 0 0 0,0 0 0 0,0
28 76 9 11,8 0 0 0,0 3 0 0,0 1 0 0,0 0 0 0,0
29 49 5 10,2 0 0 0,0 5 2 40,0 1 0 0,0 0 0 0,0
30 45 6 13,3 0 0 0,0 4 1 25,0 0 0 0,0 0 0 0,0
31 40 6 15,0 0 0 0,0 1 0 0,0 0 0 0,0 0 0 0,0
32 54 5 9,3 0 0 0,0 3 0 0,0 0 0 0,0 0 0 0,0
33 38 4 10,5 0 0 0,0 0 0 0,0 2 0 0,0 0 0 0,0
34 38 5 13,2 0 0 0,0 2 0 0,0 1 0 0,0 0 0 0,0
35 31 5 16,1 0 0 0,0 3 1 33,3 2 0 0,0 0 0 0,0
36 26 6 23,1 0 0 0,0 1 1 100,0 2 0 0,0 0 0 0,0
37 24 5 20,8 0 0 0,0 1 0 0,0 1 0 0,0 0 0 0,0
38 26 4 15,4 0 0 0,0 0 0 0,0 2 0 0,0 0 0 0,0
39 28 0 0,0 0 0 0,0 3 0 0,0 3 0 0,0 0 0 0,0
40 24 0 0,0 0 0 0,0 1 0 0,0 4 0 0,0 1 0 0,0
41 28 3 10,7 0 0 0,0 4 0 0,0 3 0 0,0 0 0 0,0
42 14 2 14,3 1 0 0,0 0 0 0,0 4 0 0,0 0 0 0,0
43 28 0 0,0 0 0 0,0 5 0 0,0 4 0 0,0 0 0 0,0
44 16 0 0,0 0 0 0,0 1 0 0,0 1 0 0,0 0 0 0,0
45 17 0 0,0 0 0 0,0 1 0 0,0 2 0 0,0 0 0 0,0
46 16 2 12,5 1 0 0,0 1 0 0,0 2 0 0,0 0 0 0,0
47 22 3 13,6 0 0 0,0 1 0 0,0 3 1 33,3 0 0 0,0
48 23 1 4,3 0 0 0,0 2 0 0,0 2 0 0,0 0 0 0,0
49 26 1 3,8 1 0 0,0 2 0 0,0 3 0 0,0 0 0 0,0
50 15 0 0,0 0 0 0,0 4 0 0,0 0 0 0,0 1 0 0,0
51 11 0 0,0 0 0 0,0 1 0 0,0 2 0 0,0 0 0 0,0
52 15 0 0,0 0 0 0,0 2 0 0,0 1 0 0,0 1 0 0,0
